GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service.impl,IncidentServiceImpl,5,103,2,8,0,28,3,10,1,7
demo,com.example.demo.service.impl,UserServiceImpl,29,18,8,0,7,5,6,2,2,2
demo,com.example.demo.service.impl,EmailServiceImpl,18,6,0,0,6,3,1,1,1,1
demo,com.example.demo.auth,AuthRequest,0,17,0,0,0,7,0,5,0,5
demo,com.example.demo.auth,AuthController,1,30,1,1,0,7,1,2,0,2
demo,com.example.demo.auth,AuthResponse,0,23,0,0,0,10,0,5,0,5
demo,com.example.demo.auth,AuthController.AuthRequest,3,14,0,0,1,4,1,4,1,4
demo,com.example.demo.auth,AuthController.AuthResponse,0,15,0,0,0,6,0,3,0,3
demo,com.example.demo.security,JwtUtil,14,54,0,0,5,17,2,4,2,4
demo,com.example.demo.security,JwtAuthFilter,49,33,8,4,12,11,5,3,0,2
demo,com.example.demo.controller,IncidentController,0,37,0,0,0,9,0,6,0,6
demo,com.example.demo.controller,MailController,8,6,0,0,2,3,1,1,1,1
demo,com.example.demo.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
demo,com.example.demo.exception,GlobalExceptionHandler,0,101,0,0,0,19,0,5,0,5
demo,com.example.demo.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
demo,com.example.demo.entity,Incident,6,55,0,0,2,22,2,13,2,13
demo,com.example.demo.entity,User,0,50,1,1,0,17,1,10,0,10
demo,com.example.demo.config,RedisConfig,0,14,0,0,0,6,0,2,0,2
demo,com.example.demo.config,PasswordConfig,4,3,0,0,1,1,1,1,1,1
demo,com.example.demo.config,DataSeeder,0,712,0,4,0,20,0,4,0,2
demo,com.example.demo.config,SecurityConfig,0,62,0,0,0,15,0,7,0,7
demo,com.example.demo,DemoApplication,0,8,0,0,0,3,0,2,0,2
demo,com.example.demo.scheduler,IncidentScheduler,0,26,0,0,0,9,0,2,0,2
